Country,Clicks,Impressions,CTR,Position
"Australia",4,943,"0.4%","45.8"
"United States",15,774,"1.9%","8.0"
"New Zealand",3,378,"0.8%","37.8"
"Brazil",0,311,"0%","7.8"
"United Kingdom",0,211,"0%","22.5"
"India",1,168,"0.6%","18.0"
"Germany",2,73,"2.7%","17.0"
"France",0,69,"0%","6.3"
"Canada",1,54,"1.9%","11.5"
"Vietnam",0,54,"0%","22.6"
"Spain",0,51,"0%","10.7"
"Indonesia",0,46,"0%","14.6"
"Netherlands",1,38,"2.6%","9.9"
"Italy",0,36,"0%","7.1"
"Mexico",0,33,"0%","15.5"
"Argentina",0,30,"0%","16.2"
"Philippines",0,26,"0%","10.6"
