Page,Clicks,Impressions,CTR,Position
"https://www.futureflower.app/",14,165,"8.5%","6.2"
"https://www.futureflower.app/contact",6,73,"8.2%","34.9"
"https://www.futureflower.app/articles/best-flower-subscription-services-nz",4,761,"0.5%","28.6"
"https://www.futureflower.app/articles/best-flower-subscription-services-au",4,589,"0.7%","16.0"
"https://www.futureflower.app/articles/best-flower-subscription-services-eu",3,1555,"0.2%","7.7"
"https://www.futureflower.app/articles/best-flower-delivery-sydney",2,810,"0.2%","47.8"
"https://www.futureflower.app/pricing",1,47,"2.1%","10.3"
"https://www.futureflower.app/flower-delivery-perth",0,49,"0%","62.3"
"https://www.futureflower.app/articles",0,25,"0%","12.9"
"https://www.futureflower.app/birthday-flower-delivery",0,15,"0%","5.5"
"https://www.futureflower.app/terms-and-conditions",0,8,"0%","7.0"
"https://www.futureflower.app/order",0,7,"0%","20.0"
"https://www.futureflower.app/login",0,6,"0%","4.2"
"https://www.futureflower.app/valentines-day-flower-delivery",0,5,"0%","6.6"
"https://www.futureflower.app/mothers-day-flower-delivery",0,4,"0%","7.0"
"https://www.futureflower.app/forgot-password",0,2,"0%","5.0"
"https://www.futureflower.app/robots.txt",0,2,"0%","10.0"
